variable,descripcion,tipo_variable,razon_clinica,recomendacion_ml,,,
FEELBLU5,Frecuencia con la que se siente desanimada,"triste o ""blue""",ordinal,Escala sintomatica gradual empleada en cribados de alteracion del estado de animo.,mantener numerica,,
DIZZY5,Frecuencia o intensidad de mareos experimentados,ordinal,Sintoma neurologico/autonomico medido bajo una escala progresiva de frecuencia.,mantener numerica,,,
IRRITAB5,Nivel o frecuencia de irritabilidad manifestada,ordinal,Escala psicologica ordinal que evalua cambios progresivos en la labilidad emocional.,mantener numerica,,,
NRVOUS5,Frecuencia con la que experimenta estados de nerviosismo agudo,ordinal,Medida psicometrica estandarizada de ansiedad e hiperalerta clasificada en rangos ordinales.,mantener numerica,,,
FORGET5,Frecuencia con la que experimenta olvidos o fallas de memoria,ordinal,Evaluacion subjetiva de disfuncion cognitiva leve medida en rangos de frecuencia incremental.,mantener numerica,,,
MOODCHG5,Frecuencia o severidad de cambios bruscos de humor,ordinal,Indicador de inestabilidad afectiva calificado clinicamente segun su frecuencia.,mantener numerica,,,
HARTRAC5,Frecuencia de episodios de aceleracion del ritmo cardiaco o palpitaciones,ordinal,Sintoma cardiovascular/autonomico graduado segun la recurrencia de las crisis.,mantener numerica,,,
FEARFULA5,Frecuencia con la que siente temor,miedo o aprension injustificada,ordinal,Escala ordinal sintomatica que evalua la dimension del miedo dentro de trastornos de ansiedad.,mantener numerica,,
HDACHE5,Frecuencia o severidad de dolores de cabeza comunes,ordinal,Escala de recurrencia o intensidad de cefaleas para medir el impacto sintomatico.,mantener numerica,,,
HOTFLAS5,Frecuencia o severidad de sofocos (bochornos) termicos,ordinal,El sintoma vasomotor principal de la transicion menopausica evaluado en escala de frecuencia/intensidad.,mantener numerica,,,
BRSTPAI5,Frecuencia o severidad de dolor mamario (mastalgia),ordinal,Sintoma ligado a fluctuaciones hormonales ciclicas clasificado en grados de molestia.,mantener numerica,,,
TRBLSLE5,Frecuencia de problemas o dificultades para conciliar el sueno,ordinal,Trastorno de inicio del sueno evaluado mediante una escala Likert de afectacion progresiva.,mantener numerica,,,
WAKEUP5,Frecuencia de despertares nocturnos recurrentes,ordinal,Variable ordinal que mide la fragmentacion cualitativa y cuantitativa del sueno.,mantener numerica,,,
WAKEARL5,Frecuencia de despertares tempranos involuntarios (insomnio terminal),ordinal,Marcador clinico de alteracion del ciclo circadiano medido en escala de frecuencia.,mantener numerica,,,
SLEEPQL5,Calidad global percibida del sueno,ordinal,"Escala ordinal que califica el descanso desde ""muy reparador"" hasta ""pesimo o nulo"".",mantener numerica,,,
GETUPUR5,Dificultad o urgencia al levantarse debido a la fatiga o malestar,ordinal,Manifestacion fisica/conductual del impacto del sueno no reparador estructurado de forma jerarquica.,mantener numerica,,,
DESIRSE5,Nivel de deseo o interes sexual reportado por la paciente,ordinal,Escala cualitativa indexada para medir disfuncion o libido sexual de menor a mayor de forma ordenada.,mantener numerica,,,
ENGAGSE5,Frecuencia de participacion o involucramiento en actividades sexuales,ordinal,Frecuencia de conducta evaluada en intervalos temporales ordenados secuencialmente.,mantener numerica,,,
PELVIC5,Frecuencia o severidad de dolor en la zona pelvica,ordinal,Dolor localizado analizado clinicamente mediante escalas graduales de afectacion.,mantener numerica,,,
LUBRICN5,Nivel de lubricacion vaginal durante el coito o actividad,ordinal,Parametro de respuesta fisiologica sexual categorizado ordinalmente segun la suficiencia.,mantener numerica,,,
WEIGHT5,Peso corporal medido en kilogramos,continua,Variable fisica metrica continua de naturaleza antropometrica.,mantener numerica,,,
BMI5,Indice de Masa Corporal calculado (IMC),continua,Indicador numerico continuo derivado de la relacion matematica peso/talla para evaluar estado nutricional.,mantener numerica,,,
STATUS5,Estado de transicion menopausica de la paciente (Variable Objetivo),nominal,Clasificacion de etapas biologicas independientes (Premenopausia,Perimenopausia Temprana/Tardia,Postmenopausia,Quirurgica). Carece de orden puramente lineal debido a subcategorias complejas o indeterminadas (ej. uso de HT o histerectomia).,aplicar one-hot encoding
RACE,Raza o etnicidad auto-reportada de la participante,nominal,Variable demografica categorica de grupos mutuamente excluyentes sin ninguna jerarquia o secuencia natural.,aplicar one-hot encoding,,,
AGE5,Edad de la paciente en anos en la visita 05,continua,Variable demografica metrica continua que representa la edad cronologica en la visita 05.,mantener numerica,,,
